Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Interactions Between Automated Shuttle and Vulnerable Road Users: A Case Study","Sustainable Civil Engineering at the Beginning of Third Millennium","","","","10.1007/978-981-97-1781-1_37","Stefano CoropulisNicola BerlocoRoberta GentilePaolo IntiniPaola LongoVittorio Ranieri","2024","http://link.springer.com/chapter/10.1007/978-981-97-1781-1_37","Chapter"
"Evaluation and improvement of the greenness of plasma spraying through life cycle assessment and grey relational analysis","The International Journal of Life Cycle Assessment","","26","8","10.1007/s11367-021-01910-4","Jing LiuLiming WangFangyi LiYanle LiXueju RanLin KongYan Fu","2021","http://link.springer.com/article/10.1007/s11367-021-01910-4","Article"
"Unsolvability of the Halting Problem in Quantum Dynamics","International Journal of Theoretical Physics","","47","7","10.1007/s10773-007-9621-x","Daegene Song","2008","http://link.springer.com/article/10.1007/s10773-007-9621-x","Article"
"Controlling Powder Deposition Process Using Fuzzy Logic Systems","Knowledge Enterprise: Intelligent Strategies in Product Design, Manufacturing, and Management","","","","10.1007/0-387-34403-9_123","Kesheng WangPaul AkangahQingfeng Yuan","2006","http://link.springer.com/chapter/10.1007/0-387-34403-9_123","Chapter"
"The effect of edge serration on the performance of stone-tip projectiles: an experimental case study of the Maros Point from Holocene South Sulawesi","Archaeological and Anthropological Sciences","","14","8","10.1007/s12520-022-01620-4","Anton FerdiantoSuryatmanFakhriBudianto HakimThomas SutiknaSam C. Lin","2022","http://link.springer.com/article/10.1007/s12520-022-01620-4","Article"
"Road Traffic Noise Analysis at the U-Turn in Makassar City","ICCOEE2020","","","","10.1007/978-981-33-6311-3_106","Muralia HustimRasdiana ZakariaMuhammad Isran RamliNurul Azizah Syafruddin","2021","http://link.springer.com/chapter/10.1007/978-981-33-6311-3_106","Chapter"
"Sustainable Civil Engineering at the Beginning of Third Millennium","Lecture Notes in Civil Engineering","","","","10.1007/978-981-97-1781-1","Umut TürkerÖzgür ErenEris Uygar","2024","http://link.springer.com/book/10.1007/978-981-97-1781-1","Book"
"Vehicle Detection and Its Speed Measurement","Intelligent Energy Management Technologies","","","","10.1007/978-981-15-8820-4_9","Morium AkterJannatul FerdousMahmuda Najnin EvaSumaita Binte ShorifSk. Fahmida IslamMohammad Shorif Uddin","2021","http://link.springer.com/chapter/10.1007/978-981-15-8820-4_9","Chapter"
"Evaluation Method for Safe Driving Skill Based on Driving Behavior Analysis and Situational Information at Intersections","Smart Mobile In-Vehicle Systems","","","","10.1007/978-1-4614-9120-0_12","Yosuke YoshidaMatti PoukeMasahiro TadaHaruo NomaMasaru Noda","2014","http://link.springer.com/chapter/10.1007/978-1-4614-9120-0_12","Chapter"
"Influence of work zone signage on driver speeding behavior","Journal of Modern Transportation","","27","1","10.1007/s40534-019-0182-5","Snehanshu BanerjeeMansoureh JeihaniNashid K. Khadem","2019","http://link.springer.com/article/10.1007/s40534-019-0182-5","Article"
"Recorded Speed on Alpine Slopes: How to Interpret Skier’s Perception of Their Speed?","Snow Sports Trauma and Safety","","","","10.1007/978-3-319-52755-0_13","Nicolas BaillySofiane AbouchicheCatherine MassonThierry DonnadieuPierre-Jean Arnoux","2017","http://link.springer.com/chapter/10.1007/978-3-319-52755-0_13","Chapter"
"Sprint Running Performance Monitoring: Methodological and Practical Considerations","Sports Medicine","","46","5","10.1007/s40279-015-0446-0","Thomas HaugenMartin Buchheit","2016","http://link.springer.com/article/10.1007/s40279-015-0446-0","Article"
"Smart Street Lights to Reduce Death Rates from Road Accidents","Proceedings of International Conference on Recent Trends in Machine Learning, IoT, Smart Cities and Applications","","","","10.1007/978-981-15-7234-0_75","RajatNaresh KumarManoj Sharma","2021","http://link.springer.com/chapter/10.1007/978-981-15-7234-0_75","Chapter"
"International Conference on Innovative Computing and Communications","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-2594-7","Dr. Ashish KhannaDr. Deepak GuptaProf. Dr. Siddhartha BhattacharyyaProf. Aboul Ella HassanienDr. Sameer AnandDr. Ajay Jaiswal","2022","http://link.springer.com/book/10.1007/978-981-16-2594-7","Book"
"Intelligent Transportation Systems (ITS)","Encyclopedia of Big Data","","","","10.1007/978-3-319-32010-6_378","Laurie A. Schintler","2022","http://link.springer.com/referenceworkentry/10.1007/978-3-319-32010-6_378","ReferenceWorkEntry"
"Intelligent Transportation Systems (ITS)","Encyclopedia of Big Data","","","","10.1007/978-3-319-32001-4_378-2","Laurie A. Schintler","2022","http://link.springer.com/referenceworkentry/10.1007/978-3-319-32001-4_378-2","ReferenceWorkEntry"
"Positioning of Singular Point of Motor Vibration Signal Based on Wavelet Transform","Unifying Electrical Engineering and Electronics Engineering","","","","10.1007/978-1-4614-4981-2_147","Dongdi ChenJin ZhaoZhongyu Shen","2014","http://link.springer.com/chapter/10.1007/978-1-4614-4981-2_147","Chapter"
"Modality of Adaptive Neuro-Fuzzy Classifier for Acoustic Signal-Based Traffic Density State Estimation Employing Linguistic Hedges for Feature Selection","International Journal of Fuzzy Systems","","18","3","10.1007/s40815-015-0069-5","Prashant BorkarM. V. SarodeL. G. Malik","2016","http://link.springer.com/article/10.1007/s40815-015-0069-5","Article"
"Comparison review on LIDAR technologies vs. RADAR technologies in speed enforcement system","Personal and Ubiquitous Computing","","27","5","10.1007/s00779-023-01736-x","Ansar YasarMuhammad AdnanWim EctorsGeert Wets","2023","http://link.springer.com/article/10.1007/s00779-023-01736-x","Article"
"Mapping global evidence on strategies and interventions in neurotrauma and road traffic collisions prevention: a scoping review","Systematic Reviews","","9","1","10.1186/s13643-020-01348-z","Santhani M SelveindranTamara TangoMuhammad Mukhtar KhanDaniel Martin SimadibrataPeter J. A. HutchinsonCarol BrayneChristine HillFranco ServadeiAngelos G. KoliasAndres M. RubianoAlexis J. JoannidesHamisi K. Shabani","2020","http://link.springer.com/article/10.1186/s13643-020-01348-z","Article"
"Pedestrian Safety at Rail Grade Crossings: Focus Areas for Research and Intervention","Urban Rail Transit","","1","4","10.1007/s40864-016-0030-4","Paul MetaxatosP. S. Sriraj","2015","http://link.springer.com/article/10.1007/s40864-016-0030-4","Article"
"Encyclopedia of GIS","","","","","10.1007/978-3-319-17885-1","Shashi ShekharHui XiongXun Zhou","2017","http://link.springer.com/referencework/10.1007/978-3-319-17885-1","ReferenceWork"
"Green Connected Automated Transportation and Safety","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-5429-9","Prof. Dr. Wuhong WangProf. Dr. Yanyan ChenProf. Dr. Zhengbing HeProf. Dr. Xiaobei Jiang","2022","http://link.springer.com/book/10.1007/978-981-16-5429-9","Book"
"Pattern Discovery and Forecasting of Attrition Using Time Series Analysis","Intelligent Systems and Machine Learning","","","","10.1007/978-3-031-35081-8_7","Saumyadip SarkarRashmi Agarwal","2023","http://link.springer.com/chapter/10.1007/978-3-031-35081-8_7","Chapter"
"Sustainable Rail Transport 4","Lecture Notes in Mobility","","","","10.1007/978-3-030-82095-4","Dr. Marin MarinovDr. Janene Piip","2022","http://link.springer.com/book/10.1007/978-3-030-82095-4","Book"
"Transportation Networks, Case-Based Reasoning and Traffic Collision Analysis: A Methodology for the 21st Century","Methods and Models in Transport and Telecommunications","","","","10.1007/3-540-28550-4_5","Kaidong LiNigel M. Waters","2005","http://link.springer.com/chapter/10.1007/3-540-28550-4_5","Chapter"
"Utility-Based Route Choice Behavior Modeling Using Deep Sequential Models","Journal of Big Data Analytics in Transportation","","4","2 - 3","10.1007/s42421-022-00058-3","Guimin DongYonghyeon KweonB. Brian ParkMehdi Boukhechba","2022","http://link.springer.com/article/10.1007/s42421-022-00058-3","Article"
"Controversies and Speed Cameras: Lessons Learnt Internationally","Journal of Public Health Policy","","26","4","10.1057/palgrave.jphp.3200044","Amanda DelaneyHeather WardMax CameronAllan F Williams","2005","http://link.springer.com/article/10.1057/palgrave.jphp.3200044","Article"
"Intelligent Systems and Machine Learning","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-35081-8","Sachi Nandan MohantyVicente Garcia DiazG. A. E. Satish Kumar","2023","http://link.springer.com/book/10.1007/978-3-031-35081-8","Book"
"The Swedish Vision Zero—An Advanced Safety Culture Phenomenon","Transport and Safety","","","","10.1007/978-981-16-1115-5_1","Matts-Åke Belin","2021","http://link.springer.com/chapter/10.1007/978-981-16-1115-5_1","Chapter"
"Proceedings of the Sixth International Conference of Transportation Research Group of India","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-4204-4","Lelitha DeviMadhu ErrampalliAvijit MajiGitakrishnan Ramadurai","2023","http://link.springer.com/book/10.1007/978-981-19-4204-4","Book"
"CrimeStat: A Spatial Statistical Program for the Analysis of Crime Incidents","Encyclopedia of GIS","","","","10.1007/978-3-319-23519-6_229-2","Ned Levine","2016","http://link.springer.com/referenceworkentry/10.1007/978-3-319-23519-6_229-2","ReferenceWorkEntry"
"Towards High Impact Smart Cities: a Universal Architecture Based on Connected Intelligence Spaces","Journal of the Knowledge Economy","","13","2","10.1007/s13132-021-00767-0","Nicos KomninosChristina KakderiLuca MoraAnastasia PanoriElena Sefertzi","2022","http://link.springer.com/article/10.1007/s13132-021-00767-0","Article"
"Encyclopedia of Law and Economics","","","","","10.1007/978-1-4614-7753-2","Alain MarcianoGiovanni Battista Ramello","2019","http://link.springer.com/referencework/10.1007/978-1-4614-7753-2","ReferenceWork"
"Proceedings of the 7th International Conference on Architecture, Materials and Construction","Lecture Notes in Civil Engineering","","","","10.1007/978-3-030-94514-5","Prof. Paulo MendonçaProf. Nuno Dinis Cortiços","2022","http://link.springer.com/book/10.1007/978-3-030-94514-5","Book"
"The Economic Impacts of SR-91 and I-5 Corridor Improvements","Regional Economic Impacts of Terrorist Attacks, Natural Disasters and Metropolitan Policies","","","","10.1007/978-3-319-14322-4_11","Peter GordonJames E. Moore IIQisheng PanHarry W. RichardsonSunbin ChoChristopher Williamson","2015","http://link.springer.com/chapter/10.1007/978-3-319-14322-4_11","Chapter"
"Traffic safety in surface public transport systems: a synthesis of research","Public Transport","","7","2","10.1007/s12469-014-0087-y","Nicolae DudutaClaudia AdriazolaDario HidalgoLuis Antonio LindauRebecca Jaffe","2015","http://link.springer.com/article/10.1007/s12469-014-0087-y","Article"
"Make the Bus Fast and Reliable","Better Buses, Better Cities","","","","10.5822/978-1-64283-015-6_4","Steven Higashide","2019","http://link.springer.com/chapter/10.5822/978-1-64283-015-6_4","Chapter"
"Development of a Malaysian Plate Number Recognition System for Parking Violation","IT Applications for Sustainable Living","","","","10.1007/978-3-031-40751-2_6","Mohd Fauzi AliasFahmi Fitri Abdul RahimMohamad Rosyidi AhmadMohamed Yusof RadzakMohd Suyerdi OmarMuhamad Husaini Abu Bakar","2023","http://link.springer.com/chapter/10.1007/978-3-031-40751-2_6","Chapter"
"CrimeStat: A Spatial Statistical Program for the Analysis of Crime Incidents","Encyclopedia of GIS","","","","10.1007/978-3-319-17885-1_229","Ned Levine","2017","http://link.springer.com/referenceworkentry/10.1007/978-3-319-17885-1_229","ReferenceWorkEntry"
"Encyclopedia of Big Data","","","","","10.1007/978-3-319-32010-6","Laurie A. SchintlerConnie L. McNeely","2022","http://link.springer.com/referencework/10.1007/978-3-319-32010-6","ReferenceWork"
"Three-dimensional motion capture data during repetitive overarm throwing practice","Scientific Data","","5","1","10.1038/sdata.2018.272","Gizem OzkayaHae Ryun JungIn Sub JeongMin Ra ChoiMin Young ShinXue LinWoo Seong HeoMi Sun KimEonho KimKi-Kwang Lee","2018","http://link.springer.com/article/10.1038/sdata.2018.272","Article"
"EPOS/IFPOS Combined Meeting EPOS - 26th Annual Meeting","Journal of Children's Orthopaedics","","1","1","10.1007/s11832-007-0015-7","","2007","http://link.springer.com/article/10.1007/s11832-007-0015-7","Article"
"The built environment and active transportation safety in children and youth: a study protocol","BMC Public Health","","19","1","10.1186/s12889-019-7024-6","Brent E. HagelAlison MacphersonAndrew HowardPamela FuselliMarie-Soleil CloutierMeghan WintersSarah A. RichmondLinda RothmanKathy BeltonRon BuliungCarolyn A. EmeryGuy FaulknerJacqueline KennedyTracey MaColin MacarthurGavin R. McCormack","2019","http://link.springer.com/article/10.1186/s12889-019-7024-6","Article"
"Elastic kirigami patch for electromyographic analysis of the palm muscle during baseball pitching","NPG Asia Materials","","11","1","10.1038/s41427-019-0183-1","Kento YamagishiTakenori NakanishiSho MiharaMasaru AzumaShinji TakeokaKazuyuki KanosueTomoyuki NagamiToshinori Fujie","2019","http://link.springer.com/article/10.1038/s41427-019-0183-1","Article"
"Motorized and non-motorized mixed traffic characteristics and lateral opening spacing calculation for the section of arterial highway through small towns","Scientific Reports","","14","1","10.1038/s41598-024-55529-0","Shengneng HuKexin MaoWei TongZhen JiaWeibo ZhaiHongwei Xu","2024","http://link.springer.com/article/10.1038/s41598-024-55529-0","Article"
"How effective are police road presence and enforcement in a developing country context?","Humanities and Social Sciences Communications","","9","1","10.1057/s41599-022-01071-1","Enoch F. Sam","2022","http://link.springer.com/article/10.1057/s41599-022-01071-1","Article"
"Survey on Lidar Sensing Technology for Vehicular Networks","Distributed Computing for Emerging Smart Networks","","","","10.1007/978-3-031-52823-1_1","Mouaouia Guinoubi","2024","http://link.springer.com/chapter/10.1007/978-3-031-52823-1_1","Chapter"
"Determining the Maximum Speed Limit in Residential Area","Proceedings of the 5th International Conference on Rehabilitation and Maintenance in Civil Engineering","","","","10.1007/978-981-16-9348-9_61","Gito SugiyantoFadli WirawanEva Wahyu IndriyatiYantoMina Yumei Santi","2023","http://link.springer.com/chapter/10.1007/978-981-16-9348-9_61","Chapter"
"Operating speed: review and recommendations for future research","Innovative Infrastructure Solutions","","7","1","10.1007/s41062-021-00669-9","Kiran Kumar TottadiArpan Mehar","2021","http://link.springer.com/article/10.1007/s41062-021-00669-9","Article"
"Evaluating the Effect of Speed Variation on Vehicular Emission Using an Integrated Modelling Approach","3rd International Conference on Innovative Technologies for Clean and Sustainable Development","","","","10.1007/978-3-030-51485-3_20","Archana ChawlaMukesh KhareSaif Khan","2021","http://link.springer.com/chapter/10.1007/978-3-030-51485-3_20","Chapter"
"Robotic GMAW online learning: issues and experiments","The International Journal of Advanced Manufacturing Technology","","87","5 - 8","10.1007/s00170-016-8618-0","Reyes Rios-CabreraAmerica B. Morales-DiazJaime F. Aviles-ViñasIsmael Lopez-Juarez","2016","http://link.springer.com/article/10.1007/s00170-016-8618-0","Article"
"Understanding Driver Behavior at Intersection for Mixed Traffic Conditions Using Questionnaire Survey","Transportation Research","","","","10.1007/978-981-32-9042-6_51","Ajinkya IngalePrasanta SahuRishabh BajpaiAvijit MajiAshoke Sarkar","2020","http://link.springer.com/chapter/10.1007/978-981-32-9042-6_51","Chapter"
"Model-Based Expert System for Design and Simulation of APS Coatings","Journal of Thermal Spray Technology","","16","1","10.1007/s11666-006-9000-9","Florin-Iuliu TrifaGhislain MontavonChristian Coddet","2007","http://link.springer.com/article/10.1007/s11666-006-9000-9","Article"
"Seeing a Hundred Miles: Radar","The Electronics Revolution","","","","10.1007/978-3-319-49088-5_5","J. B. Williams","2017","http://link.springer.com/chapter/10.1007/978-3-319-49088-5_5","Chapter"
"Use of artificial neural networks to assess train horn noise at a railway level crossing in India","Environmental Monitoring and Assessment","","195","3","10.1007/s10661-023-11021-2","Boddu Sudhir KumarVenkaiah Chowdary","2023","http://link.springer.com/article/10.1007/s10661-023-11021-2","Article"
"Structure–Phase Transformations and Properties of Non-Ferrous Metals and Alloys under Extreme Conditions","Physics of Metals and Metallography","","121","7","10.1134/S0031918X20070029","I. G. BrodovaV. I. Zel’dovichI. V. Khomskaya","2020","http://link.springer.com/article/10.1134/S0031918X20070029","Article"
"Proceedings of the 5th International Conference on Rehabilitation and Maintenance in Civil Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-9348-9","Stefanus Adi KristiawanBuntara S. GanMohamed ShahinAkanshu Sharma","2023","http://link.springer.com/book/10.1007/978-981-16-9348-9","Book"
"A Multiple Linear Regression Approach in Modeling Traffic Noise","Proceedings of the International Conference on Research and Innovations in Mechanical Engineering","","","","10.1007/978-81-322-1859-3_50","R. PanchalM. DahiyaP. K. SainiN. Garg","2014","http://link.springer.com/chapter/10.1007/978-81-322-1859-3_50","Chapter"
"Development of an adaptive neuro fuzzy inference system based vehicular traffic noise prediction model","Journal of Ambient Intelligence and Humanized Computing","","12","2","10.1007/s12652-020-02431-y","Daljeet SinghRahul UpadhyayHusanbir Singh PannuDimitri Leray","2021","http://link.springer.com/article/10.1007/s12652-020-02431-y","Article"
"Intelligent Infrastructure in Transportation and Management","Studies in Infrastructure and Control","","","","10.1007/978-981-16-6936-1","Dr. Jiten ShahDr. Shriniwas S. ArkatkarDr. Pravin Jadhav","2022","http://link.springer.com/book/10.1007/978-981-16-6936-1","Book"
"Comparative study on safety effects of differential speed limit and uniform speed limit on highways using microsimulation","Innovative Infrastructure Solutions","","9","1","10.1007/s41062-023-01324-1","Abhinav MishraA. Mohan RaoDarshana Othayoth","2023","http://link.springer.com/article/10.1007/s41062-023-01324-1","Article"
"Heterogeneous road traffic noise modeling at mid-block sections of mid-sized city in India","Environmental Monitoring and Assessment","","195","11","10.1007/s10661-023-11924-0","Ashish Kumar ChoukseyBrind KumarManoranjan ParidaAmar Deep PandeyGaurav Verma","2023","http://link.springer.com/article/10.1007/s10661-023-11924-0","Article"
"Use of Microscopic Traffic Simulation Software to Determine Heavy-Vehicle Influence on Queue Lengths at Toll Plazas","Arabian Journal for Science and Engineering","","44","8","10.1007/s13369-019-03809-7","Mohammed Bally MahdiLee Vien LeongAhmad Farhan Mohd Sadullah","2019","http://link.springer.com/article/10.1007/s13369-019-03809-7","Article"
"Smart Traffic Monitoring and Alert System Using VANET and Deep Learning","International Conference on Innovative Computing and Communications","","","","10.1007/978-981-16-2594-7_43","Manik TanejaNeeraj Garg","2022","http://link.springer.com/chapter/10.1007/978-981-16-2594-7_43","Chapter"
"A Cyber-Safety IoT-Enabled Wearable Microstrip Antenna for X-Band Applications","Mobile Computing and Sustainable Informatics","","","","10.1007/978-981-16-1866-6_2","R. Praveen KumarS. SmysJennifer S. RajM. Kamarajan","2022","http://link.springer.com/chapter/10.1007/978-981-16-1866-6_2","Chapter"
"Influence of Horizontal Curve Geometry on Operating Speeds on Four-Lane Divided Highways Under Heterogeneous Traffic Conditions","Journal of The Institution of Engineers (India): Series A","","103","4","10.1007/s40030-022-00677-7","Kiran Kumar TottadiChaitanya VarmaArpan Mehar","2022","http://link.springer.com/article/10.1007/s40030-022-00677-7","Article"
"An Artificial Neural Network Model for Traffic Noise Predictions","Proceedings of the International Conference on Research and Innovations in Mechanical Engineering","","","","10.1007/978-81-322-1859-3_54","M. DahiyaR. PanchalP. K. SainiN. Garg","2014","http://link.springer.com/chapter/10.1007/978-81-322-1859-3_54","Chapter"
"Calibrating and Validation of Microsimulation Model for Indian Heterogeneous Traffic Flow—A Case Study","Intelligent Infrastructure in Transportation and Management","","","","10.1007/978-981-16-6936-1_3","Harsh MerA. Mohan RaoRena N. Shukla","2022","http://link.springer.com/chapter/10.1007/978-981-16-6936-1_3","Chapter"
"Reasonable Self-doubt","Criminal Law and Philosophy","","15","1","10.1007/s11572-020-09528-7","Ofer MalcaiRam Rivlin","2021","http://link.springer.com/article/10.1007/s11572-020-09528-7","Article"
"Relevancy of the Installed Posted Speed Limit Based on the Operating Speed Study on Multilane Highway","InCIEC 2015","","","","10.1007/978-981-10-0155-0_84","Megat Nazrin Helmy Shah NazriNur Atikah AhmadNurul Iman RahimAfiqah ZakariaTuan Badrol Hisham Tuan BesarMuhammad Akram Bin AdnanNorliana Binti Sulaiman","2016","http://link.springer.com/chapter/10.1007/978-981-10-0155-0_84","Chapter"
"Autonomous Driving Vehicle System Using LiDAR Sensor","Intelligent Data Communication Technologies and Internet of Things","","","","10.1007/978-981-16-7610-9_25","Saiful IslamMd Shahnewaz TanvirMd. Rawshan HabibTahsina Tashrif ShawmeeMd Apu AhmedTafannum FerdousMd. Rashedul ArefinSanim Alam","2022","http://link.springer.com/chapter/10.1007/978-981-16-7610-9_25","Chapter"
"A Video-Based System for Vehicle Tracking Based on Optical Flow and Shi-Tomasi Corner Detection Algorithm","Proceedings of Fourth International Conference on Computing, Communications, and Cyber-Security","","","","10.1007/978-981-99-1479-1_53","Nikesha PatelKeyur N. Brahmbhatt","2023","http://link.springer.com/chapter/10.1007/978-981-99-1479-1_53","Chapter"
"A Study of Delay Estimation Methods at Signalized Intersections for Mixed Traffic Condition","Transportation in Developing Economies","","7","1","10.1007/s40890-021-00120-9","Abdhul KhadhirHimabindu MaripiniSukanya SreedharLelitha VanajakshiBhargava Rama Chilukuri","2021","http://link.springer.com/article/10.1007/s40890-021-00120-9","Article"
"Development of the simulation model for throwing motion in water polo","Sports Engineering","","17","1","10.1007/s12283-013-0127-x","Motomu NakashimaYuta NakayamaYutaka MinamiHideki Takagi","2014","http://link.springer.com/article/10.1007/s12283-013-0127-x","Article"
"Comparison of ANN and Analytical Models in Traffic Noise Modeling and Predictions","Acoustics Australia","","43","2","10.1007/s40857-015-0018-3","N. GargS. K. MangalP. K. SainiP. DhimanS. Maji","2015","http://link.springer.com/article/10.1007/s40857-015-0018-3","Article"
"Guidelines for Effective Weigh-in-Motion (WIM) Equipment Calibration, Application for Modeling WIM Errors, and Comparison of the ASTM and LTPP Accuracy Protocols","International Journal of Pavement Research and Technology","","","","10.1007/s42947-022-00267-7","Muhammad Munum MasudSyed W. Haider","2023","http://link.springer.com/article/10.1007/s42947-022-00267-7","Article"
"Quantifying the influence of transmission path characteristics on urban railway noise","Environmental Monitoring and Assessment","","195","8","10.1007/s10661-023-11557-3","Boddu Sudhir KumarVenkaiah Chowdary","2023","http://link.springer.com/article/10.1007/s10661-023-11557-3","Article"
"Proceedings of Fourth International Conference on Computing, Communications, and Cyber-Security","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1479-1","Sudeep TanwarSlawomir T. WierzchonPradeep Kumar SinghMaria GanzhaGregory Epiphaniou","2023","http://link.springer.com/book/10.1007/978-981-99-1479-1","Book"
"Estimation of possible sources for wind-borne re-invasion of Bactrocera dorsalis complex (Diptera: Tephritidae) into islands of Okinawa Prefecture, southwestern Japan","Applied Entomology and Zoology","","51","1","10.1007/s13355-015-0368-1","Akira OtukaKeiichi NagayoshiSachiyo Sanada-MorimuraMasaya MatsumuraDai HaraguchiRei Kakazu","2016","http://link.springer.com/article/10.1007/s13355-015-0368-1","Article"
"An acute bout of controlled subconcussive impacts can alter dynamic cerebral autoregulation indices: a preliminary investigation","European Journal of Applied Physiology","","122","4","10.1007/s00421-022-04908-4","Jonathan D. SmirlDakota PeacockJoel S. BurmaAlexander D. WrightKevin J. BoulianeJill DierijckMichael KennefickColin WallacePaul van Donkelaar","2022","http://link.springer.com/article/10.1007/s00421-022-04908-4","Article"
"Impact of Road Infrastructure Land Use and Traffic Operational Characteristics on Pedestrian Fatality Risk: A Case Study of Kolkata, India","Transportation in Developing Economies","","5","2","10.1007/s40890-019-0077-5","Dipanjan MukherjeeSudeshna Mitra","2019","http://link.springer.com/article/10.1007/s40890-019-0077-5","Article"
"Comparison of Analytical and Machine Learning Models in Traffic Noise Modeling and Predictions","MAPAN","","","","10.1007/s12647-023-00692-4","Bhagwat Singh ChauhanNaveen GargSaurabh KumarChitra GautamGaurav Purohit","2023","http://link.springer.com/article/10.1007/s12647-023-00692-4","Article"
