"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using automated enforcement data to achieve vision zero goals: A case study","J. M. Rogers; S. S. Dey; R. Retting; R. Jain; X. Liang; N. Askarzadeh","District Department of Transportation, Washington, DC; District Department of Transportation, Washington, DC; District Department of Transportation, Washington, DC; District Department of Transportation, Washington, DC; District Department of Transportation, Washington, DC; District Department of Transportation, Washington, DC","2016 IEEE International Conference on Big Data (Big Data)","6 Feb 2017","2016","","","4029","4031","In 2015, The District of Columbia framed a Vision Zero mission and action plan, aimed at curbing roadway deaths to zero by 2024. Automated traffic enforcement (ATE) features prominently amongst Vision Zero strategies. The paper performs some analytics of data derived from the DC's speed and red light cameras and discusses a framework of how ATE can help DC reach its Vision Zero goals by fine-tuning the program to focus enforcement on areas that need it most. Vision Zero provides a unique opportunity to bring several “traditional” safety programs that were previously developed across transportation modes (such as highway, bicycle and pedestrian) and agency responsibilities (such as engineering, education and enforcement). The program uses a collaborative approach involving multiple agencies and the users of the transportation systems and makes more effective use of data, education, enforcement, and engineering to derive cross-cutting solutions. This paper discusses the salient aspects of DC's Vision Zero program and action plan.","","978-1-4673-9005-7","10.1109/BigData.2016.7841099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7841099","Vision zero;photo enforcement;big data analytics;traffic safety;red light camera;speed camera","Computer crashes;Cameras;Transportation;Injuries;Safety;Market research;Big data","","2","","5","IEEE","6 Feb 2017","","","IEEE","IEEE Conferences"
"Speed Violation Detection and Enforcement with CNN and IoT Integration","S. Bhattacharya; R. Raman","Symbiosis Law School, (SLS) Pune & Symbiosis International (Deemed University), Pune, Maharashtra, India; Symbiosis Institute of Business Management Pune & Symbiosis International (Deemed University), Pune, Maharashtra, India","2023 3rd International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)","28 Feb 2024","2023","","","1","5","Worldwide traffic accidents and deaths are largely attributable to drivers going too fast for conditions. This research introduces a unique method for detecting and enforcing speeding violations using Convolutional Neural Networks (CNNs) and the Internet of Things (IoT). The system employs deep learning and collects data in real-time from IoT devices. In this case, it describes developing a CNN–based method for analyzing traffic camera footage in real-time. The CNN model reliably detects moving objects and estimates their velocity. Accurate vehicle tracking is achieved by integrating data from IoT sensors, such as global positioning and vehicle identification systems. Cloud computing allows for the transfer and processing of data in near real-time. It shows that this combined method may successfully identify speeding violations. The IoT data verified the results, indicating that the CNN model had an accuracy of over 90% in speed estimation, which allowed for automated enforcement measures. Enforcement response times can also be drastically reduced by including real-time monitoring and alerting. The system provides a viable approach for speed violation identification and enforcement by merging CNN image processing with IoT data, leading to safer road environments and fewer accidents. It predicts this technique will significantly improve road safety on a global scale, which will, in turn, revolutionize traffic management.","","979-8-3503-1912-5","10.1109/SMARTGENCON60755.2023.10441950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441950","Speed Violation;Real-time Monitoring;Automated Enforcement;Road Safety;Speed Estimation","Law enforcement;Image processing;Real-time systems;Road safety;Internet of Things;Convolutional neural networks;Accidents","","","","15","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"How the use of average speed control could influence driver behaviour when implementing 80mph speed limits","G. Collins","Vysionics ITS Limited, UK","IET and ITS Conference on Road Transport Information and Control (RTIC 2012)","28 Mar 2013","2012","","","1","5","The DfT are currently considering the use of an 80mph speed limit, which could be used on parts of the motorway network, either as a blanket approach for all National Speed Limit (NSL) sections, or on selected routes. The implications of this change could be significant, in terms of journey reliability, road user safety and environmental considerations. One risk mitigation tool that has been widely discussed is the use of average speed enforcement to ensure that any such change would not be significantly detrimental to safety and flow. This paper explores the likely impact of such an approach.","","978-1-84919-674-1","10.1049/cp.2012.1531","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6489848","Average speed enforcement;80mph;driver behaviour","","","","","","","28 Mar 2013","","","IET","IET Conferences"
"Area-wide ANPR coverage with a small number of instrumented vehicles","B. Gunay; M. Saltan; A. Ilgaz; Y. Albayrak","Dept. of Civil Engineering, Akdeniz University, Antalya, Turkey; The Graduate School, S. Demirel University, Isparta, Turkey; Dept. of Civil Engineering, S. Demirel University, Isparta, Turkey; Dept. of Civil Engineering, Akdeniz University, Antalya, Turkey","2015 International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS)","27 Aug 2015","2015","","","379","386","The paper investigates the applicability of an area-wide coverage of speed enforcement by a non-stationary Automatic Number Plate Recognition (ANPR) system. Two instrumented cars, each fitted with an ANPR camera and related equipment, were facilitated in the surveys. These cars were parked systematically according to a schedule during the day within a large university campus in Turkey on 11 corridors over a four-month period. The work was carried out at two stages to be able to compare the effectiveness of the application. During the first two months, the application was disguised from the drivers. In the next two-month period the public were informed of the scheme by various publicity means and were told to obey the speed limits. Since the tests were carried out within a closed area, in both stages more or less the same profile of drivers were studied, hence the findings are expected to reflect directly the effects of the application. It was found that in most corridors the average speeds were lower in the second stage. For the two month period after the announcement of the scheme, no evidence was found to show that the impact was diminishing, suggesting the effectiveness of the system. However, the study revealed the problem of posting unsuitable speed limits in the campus which requires further attention.","","978-9-6331-3142-8","10.1109/MTITS.2015.7223283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223283","ANPR;average speed limit;speed enforcement","Vehicles;Cameras;Instruments;Histograms;Accidents;Radar","","","","17","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Maritime Traffic Speed Enforcement","A. Broggi; P. Cerri; P. Grisleri","VisLab-Dipartimento di Ingegneria dellInformazione, Università degli Studi di Parma, Parma, Italy; VisLab-Dipartimento di Ingegneria dellInformazione, Università degli Studi di Parma, Parma, Italy; VisLab-Dipartimento di Ingegneria dellInformazione, Università degli Studi di Parma, Parma, Italy","IEEE Intelligent Transportation Systems Magazine","26 Jan 2012","2012","4","1","21","32","This paper describes a speed warning system for boats moving on a wide water surface using a single grayscale camera. Boats are detected, their speed estimated, and statistics are also computed. The approach is based on an enhanced background subtraction technique combined with classification and tracking to improve robustness; it provides a stable detection even with sea waves and strong light reflections and it is robust to tides which in Venice can reach high variations. The method returns correct speed values within the range 65% in the 97% of use cases. This system has been in operation for 3 years on the Burano island in Venice, monitoring a 250 m wide channel slice. The estimated speed is shown to the boats thanks to a digital display. Processing results can also be accessed remotely for monitoring purposes via web and even on mobile devices. Another system has been installed in Venice at the end of 2009 while a third is operative in Murano since early 2010.","1941-1197","","10.1109/MITS.2011.2178770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6138937","","Marine navigation;Navigation;Cameras;Gray-scale;Velocity control;Alarm systems;Monitoring","","1","","18","IEEE","26 Jan 2012","","","IEEE","IEEE Magazines"
"The Implication of Overloaded Truck to Developing Countries – A Review","F. A. M. Saad; S. Z. Ishak; S. A. H. Sulaiman; A. Awang","Malaysia Institute of Transport (MITRANS), Universiti Teknologi MARA, (UiTM), Shah Alam, Selangor, Malaysia; Malaysia Institute of Transport (MITRANS)/ School of Civil Engineering, College of Engineering Universiti Teknologi MARA (UiTM), Shah Aalam, Selangor, Malaysia; Malaysia Institute of Transport (MITRANS)/ Faculty of Architecture, Planning and Surveying, Universiti Teknologi MARA (UiTM), Shah Alam, Selangor, Malaysia; Road Transport Department Malaysia, Presint 4 Pusat Pentadbiran Kerajaan Persekutuan, Putrajaya","2021 IEEE 12th Control and System Graduate Research Colloquium (ICSGRC)","20 Aug 2021","2021","","","165","170","The challenges faced by developing countries related to logistics transported by trucks is commonly due to the overloaded of the truck which found mostly by the heavy vehicle. Overloaded trucks generally happened due to lack of enforcement, inspection level, and the technology to capture the overweight issue still far behind. Besides at most of the case, the developing countries are more concerned with economic growth rather than emphasizing the quality of life. In Malaysia, the percentage of overloaded trucks can reach more than 60% of the total registered trucks. The overloaded trucks not only give the implication to economic but also to road safety, social and the environments. This paper reviews the impact of overloaded trucks in developing countries by systematic literature review techniques.","","978-1-6654-4011-0","10.1109/ICSGRC53186.2021.9515215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515215","Overloaded truck;Developing countries;Implication;Heavy Vehicle;Road Safety","Systematics;Bibliographies;Developing countries;Inspection;Control systems;Road safety;Safety","","3","","19","IEEE","20 Aug 2021","","","IEEE","IEEE Conferences"
"Characteristics of Speeders on Freeway Ramps","B. S. Liu; C. H. Lo","Department of Industrial Engineering and Management, Saint John''s University, Taipei, Taiwan; Institute of Automation and Mechrtronics, Saint John''s University, Taipei, Taiwan","2007 IEEE International Conference on Industrial Engineering and Engineering Management","4 Jan 2008","2007","","","451","456","A mobile recording system, with integrated laser speed gun, video from CCD-cameras, digital recorder and auxiliary battery system, was used to observe driving behavior at ramp metering of freeway. Cameras were mounted on a soft shoulder to record: traffic-light status and driving speed from laser speed gun. In addition, one of cameras with telephoto lens focused on windshield of vehicle to catch drivers' characteristics (i.e. age, gender) and vehicle type. After removal of instances of interference, 1538 driving behaviors were recorded. Binary logistic regression was used to examine the risk of speeding as a function of covariates and interaction terms. The results of analysis revealed that the major contributing factors for approaching speed were traffic-light condition, vehicle type and drivers' gender. Analysis of binary logistic regression showed that male van drivers had the greatest speeding propensity in our sample (OR = 24.36). The relative risk of speeding for traveling in passenger absence is four times higher than for passenger presence. Moreover, present results confirm that vehicle- type effects vary with traffic light condition. The results of the present study may provide meaningful information applicable to the design and operation of ramp metering system.","2157-362X","978-1-4244-1528-1","10.1109/IEEM.2007.4419230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4419230","driving speed;freeway;ramp metering system;signal phasing;traffic safety","Traffic control;Vehicle driving;Cameras;Logistics;Digital recording;Video recording;Batteries;Lenses;Automotive components;Interference","","","","23","IEEE","4 Jan 2008","","","IEEE","IEEE Conferences"
"Analysis of red light camera violations — A case study in Bialystok","",,"2018 Smart City Symposium Prague (SCSP)","5 Jul 2018","2018","","","1","6","Red light running is a frequent cause of crashes and injuries worldwide. Traditionally, the enforcement of this violation involves police observations but recently this precaution is being automated through the use of red light camera systems that detect offending motorist. This paper presents results and an analysis of red light violations records collected from five intersections in the City of Bialystok, Poland. The data were gathered by red light photo enforcement cameras between June 2015 and October 2017. Statistical analysis were carried out to find the correlation between red light violations and intersection geometry and traffic related factors (traffic intensity, number of driving lanes, land width). Another consideration was given to evaluate the influence of changes in law regulations in scope of red light camera surveillance on the number of violations.","","978-1-5386-5017-2","10.1109/SCSP.2018.8402659","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402659","Red light cameras;violations;intersections;traffic volume","Cameras;Computer crashes;Surveillance;Geometry;Safety;Correlation","","1","","12","IEEE","5 Jul 2018","","","IEEE","IEEE Conferences"
"Experimental results for image-based pose and velocity estimation","A. P. Dani; S. Velat; C. Crane; N. R. Gans; W. E. Dixon","Department of Mechanical Aerospace Engineering, University of Florida, Gainesville, FL, USA; Department of Mechanical Aerospace Engineering, University of Florida, Gainesville, FL, USA; Department of Mechanical Aerospace Engineering, University of Florida, Gainesville, FL, USA; Department of Mechanical Aerospace Engineering, University of Florida, Gainesville, FL, USA; Department of Mechanical Aerospace Engineering, University of Florida, Gainesville, FL, USA","2008 IEEE International Conference on Control Applications","23 Sep 2008","2008","","","1159","1164","A method is presented to estimate the pose and velocity of a moving object in Euclidean space. Euclidean homography relationships are used to recover the pose of an object with respect to a camera frame. A Lyapunov-based robust integral of the signum of the error (RISE) control law is employed to estimate the velocity of an object with respect to a camera frame. The method described in this paper does not require the initial rotation between the camera frame and the object reference frame but requires only a single known length on the object. It is distinguished from earlier methods which require rotation matrix along with a single known length. A series of experiments are presented to test the accuracy of the algorithm. The pose estimates are calculated and compared with ground truth data logged using a laser speed gun - a velocity measuring device. Velocity estimates are compared with ground truth data at various speeds.","1085-1992","978-1-4244-2222-7","10.1109/CCA.2008.4629706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4629706","","Control systems;USA Councils;Conferences","","2","","14","IEEE","23 Sep 2008","","","IEEE","IEEE Conferences"
"Evaluations of Flight Dynamic Parameters for Smart Baseballs","C. -H. Lin; H. -C. Shih; W. -Y. Wang","Physical Education Office Yuan Ze University, Chung-Li, Taiwan; Department of Electrical Engineering, Yuan Ze University, Taoyuan City, Taiwan; Department of Electrical Engineering, Yuan Ze University, Taoyuan City, Taiwan","2019 IEEE 8th Global Conference on Consumer Electronics (GCCE)","27 Feb 2020","2019","","","553","554","The purpose of this study is to analyze the accuracy of flight dynamic parameters for smart baseballs (SB), especially Strike, MAQ, PitchTracker and iBall. Various SBs were pitched ten times on the standard baseball area whereas a pitcher threw the SB toward the home plate. We also measured the value using Rapsodo Pitching (RP) and speed gun (SG) to confirm the flight dynamic parameters. When measuring the velocity of PitchTracker, the result from SG is significantly higher than the result shown in RP and PitchTracker (105.4 ± 1.45 vs 113.9 ± 1.30 & 111.2 ± 0.64 km/h, p<; .05). Additionally, the velocity of the ball measured by SG is generally slower than the actual speed. However, no statistical difference was found between RP and SBs when measuring the spin and rotation axis angle. Overall, the velocity and spin results obtained from the SBs when pitching Strike and PitchTracker are close to the result detected by RP.","2378-8143","978-1-7281-3575-5","10.1109/GCCE46687.2019.9015573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015573","Strike;MAQ;Pitch Tracker;iBall;Rapsodo Pitching","Sports equipment;Radar tracking;Sensors;Sports;Velocity measurement","","2","","5","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"Jamarat Ritual Simulation with Myo Armband for Precise Throws Speed","I. Sabilirrasyad; M. Zikky; R. Y. Hakkun","Multimedia Department, Polytechnic Institute of Surabaya, Indonesia; Multimedia Department, Polytechnic Institute of Surabaya, Indonesia; Multimedia Department, Polytechnic Institute of Surabaya, Indonesia","2018 International Electronics Symposium on Knowledge Creation and Intelligent Computing (IES-KCIC)","31 Jan 2019","2018","","","205","209","In this paper pertains the uses of the Myo Armband device as the input of simulation based on one of Hajj ritual, Throws pebbles at pillars. Hajj is one of the most important rituals in Muslim religion. An accident happen in 1998 and 2004 that took a hundreds of lives on this ritual. Thus, a simulation is made for a prospective pilgrims to give insight in hope to reduce and prevent accident that will happen. This simulation will mainly discuss at giving a throwing method with precise speed that also give a real impression in the simulation, since the throw was the important aspect. Myo Armband suited for this task, because can provide both interaction from its gesture recognition and data that needed for controlling virtual hand. The simulation also use a crowd Artificial Intelligence that give user a Jamarat Bridge atmosphere. In real life test conducted to determine the speed accuracy between hand throw with a virtual throwing using a third application called sport speed gun to measure speed.","","978-1-5386-8079-7","10.1109/KCIC.2018.8628557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8628557","Myo Armband;Throw;Virtual Reality;Mobile Application","Solid modeling;Atmospheric modeling;Electromyography;Accidents;Bridges;Games;Artificial intelligence","","1","","8","Crown","31 Jan 2019","","","IEEE","IEEE Conferences"
