"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"Mathew J.K.; Li H.; Landvater H.; Bullock D.M.","Mathew, Jijo K. (57195414710); Li, Howell (55903949000); Landvater, Hannah (57563446000); Bullock, Darcy M. (35607845100)","57195414710; 55903949000; 57563446000; 35607845100","Using Connected Vehicle Trajectory Data to Evaluate the Impact of Automated Work Zone Speed Enforcement","2022","Sensors","10.3390/s22082885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127650181&doi=10.3390%2fs22082885&partnerID=40&md5=6814ddf20d7bd12a254fefebb1ab38d5","Work zone safety is a high priority for transportation agencies across the United States. Enforcing speed compliance in work zones is an important factor for reducing the frequency and severity of crashes. This paper uses connected vehicle trajectory data to evaluate the impact of automated work zone speed enforcement on three work zones in Pennsylvania and two work zones in Indiana. Analysis was conducted on more than 300 million datapoints from over 71 billion records between April and August 2021. Speed distribution and speed compliance studies with and without automated enforcement were conducted along every tenth of a mile, and the results found that overall speed compliance inside the work zones increased with the presence of enforcement. In the three Pennsylvania work zones analyzed, the proportions of vehicles travelling within the allowable 11 mph tolerance were 63%, 75% and 84%. In contrast, in Indiana, a state with no automated enforcement, the proportions of vehicles travelling within the same 11 mph tolerance were found to be 25% and 50%. Shorter work zones (less than 3 miles) were associated with better compliance than longer work zones. Spatial analysis also found that speeds rebounded within 1–2 miles after leaving the enforcement location. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
"Mesic A.; Krebs E.; Delavary M.; Vanlaar W.; Turner B.; Neki K.; Nzeyimana I.","Mesic, Aldina (58670105300); Krebs, Elizabeth (57072879000); Delavary, Milad (57223984149); Vanlaar, Ward (9040219300); Turner, Blair (58669966800); Neki, Kazuyuki (57356858800); Nzeyimana, Innocent (57194487552)","58670105300; 57072879000; 57223984149; 9040219300; 58669966800; 57356858800; 57194487552","A case-control study of the impact of automated speed enforcement on motorist speeds and speeding violations in Rwanda","2024","Accident Analysis and Prevention","10.1016/j.aap.2023.107327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175207866&doi=10.1016%2fj.aap.2023.107327&partnerID=40&md5=6b904442be5c4324b8cf94d5596701a1","[No abstract available]"
"Ilgaz A.; Saltan M.","Ilgaz, Arzu (57015143200); Saltan, Mehmet (6506965439)","57015143200; 6506965439","Case study on low speed limit regions inspected by average speed enforcement: Opinions on speed limit enforcement of commuter drivers in Turkey","2021","Scientia Iranica","10.24200/sci.2020.53933.3496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109613606&doi=10.24200%2fsci.2020.53933.3496&partnerID=40&md5=9c504680675179ac4b330b6482a9e7da","This article presents information on the average speed enforcement system technology used in a university campus on sections with speed limits which is determined to be effective for decreasing the speeding behavior of drivers during a certain period of time. Afterwards, a study is presented which puts forth driver characteristics and their opinions. At the end of the application, drivers are subject to surveys within the scope of, ""driver's personal characteristics, driver behaviors known by themselves, opinions on the average speed enforcement in the campus and the speed limits as well as other enforcements"". A sample group of 729 drivers who regularly enter-exit the campus are included in the study as a result of which 52.8% of the participants indicated that the speed limits enforced via average speed enforcement are low. It is thought that the speed limits are not considered as reasonable by the drivers and that these limits may be neglected frequently in the future. It should be kept in mind that the study area is a campus while adjusting the speed limits with regard to the respect of drivers towards speed limits. Because the speed limits should be such that they pose no risks for pedestrian/cyclist safety. © 2021 Sharif University of Technology. All rights reserved."
"Hydén C.","Hydén, Christer (6506717650)","6506717650","Speed Governors and Limiters","2021","International Encyclopedia of Transportation: Volume 1-7","10.1016/B978-0-08-102671-7.10517-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151188757&doi=10.1016%2fB978-0-08-102671-7.10517-2&partnerID=40&md5=78048aa40e336d88cec6533d27e21f84","Excessive speed is one of the main road safety problems according to many experts; and authorities in most parts of the world claim that excessive speed, that is, speed above the prevailing speed limit, is a strongly contributing factor to many crashes and—particularly—to fatal crashes and crashes with severe injuries. Soft measures such as education and informational campaigns are typically not sufficient in keeping most drivers at or below the speed limit. Speed enforcement is much more efficient but unless police is omnipresent or speed cameras are installed “everywhere,” the effect is limited in time and geographical area, or very costly. Hard measures are needed to get full compliance. Those are measures that are supported by legislation, forcing drivers to comply. The most interesting, and the one with the highest potential, is the Speed Governor. With GPS and a computer in the vehicle, the prevailing speed limit can be determined everywhere. The system can also be based on vehicle-based cameras reading speed limit signs. The Speed Governor should make it impossible to drive faster than the speed limit. If everybody always kept the speed limit then the number of fatalities would be reduced by (almost unimaginable) 30%–50%, most in Third World countries. The problem, however, is that it is still theory: neither car industry nor any authorities have mandated it yet. However, a proposal from the European Transport Safety Council (ETSC) to mandate speed limiters on all new vehicles sold in Europe has passed a vote by Members of European Parliament. If approved, the technologies would be mandatory for new (not yet designed) models as of May 2022. However, the system may allow overriding it too easily. Empirical research is highly warranted in order to be able to assess the safety effects of a system that strictly never allows speeding. © 2021 Elsevier Ltd. All rights reserved"
"Khan I.U.; Vachal K.","Khan, Ihsan Ullah (57211093828); Vachal, Kimberly (6507270137)","57211093828; 6507270137","Factors affecting injury severity of single-vehicle rollover crashes in the United States","2020","Traffic Injury Prevention","10.1080/15389588.2019.1696962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078596769&doi=10.1080%2f15389588.2019.1696962&partnerID=40&md5=ac84dc56d56675ba47cba1af6bbb95ae","Objective: This study investigated the confounding effects of factors on injury outcomes for all occupants in fatal single-vehicle crashes that involved a rollover event. Method: A generalized ordered logit model was used to investigate the role of roadway attributes, environmental factors, driver characteristics, and vehicle features in injury severity outcomes for occupants. Five years of single-vehicle rollover crash data for the United States were studied. Results: Results showed that the likelihood of serious and fatal injuries increases in rollover crashes with partial or complete ejection of the occupant, no seat belt use, speeding, higher posted speed limits, roadside and median rollovers, undulating terrain, blacktop road surface, and rural roads. We also found that evening, weekdays, previous driver crash, careless or inattentive driving, driver–passenger engagement, aggressive driving, and vehicle type affect injury severity. The deployment of airbags was associated with fewer serious and fatal injuries. Regional differences were found for injury severity outcomes in rollover crashes. Conclusions: The study provides valuable insight for reducing injury severity in single-vehicle crashes where a rollover occurs. Several proven countermeasures may prevent rollovers or reduce injury severity. These strategies include increasing seatbelt use, posting lower speed limits and installing speed enforcement cameras in high-risk areas, flattening roadside embankments, and promoting in-vehicle stability enhancement systems such as electronic stability control and rollover-activated side curtain airbags. © 2020, © 2020 Taylor & Francis Group, LLC."
"Gavėnienė L.; Čygas D.; Jateikienė L.; Vorobjovas V.; Jasiūnienė V.; Zarinš A.","Gavėnienė, Laura (57218516888); Čygas, Donatas (6504111786); Jateikienė, Laura (57191542802); Vorobjovas, Viktoras (25937520800); Jasiūnienė, Vilma (35098930700); Zarinš, Atis (42562045200)","57218516888; 6504111786; 57191542802; 25937520800; 35098930700; 42562045200","AN ASSESSMENT OF THE EFFECT OF THE AVERAGE SPEED ENFORCEMENT SYSTEMS ON LITHUANIAN ROADS","2023","Baltic Journal of Road and Bridge Engineering","10.7250/bjrbe.2023-18.615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172940037&doi=10.7250%2fbjrbe.2023-18.615&partnerID=40&md5=0dea6bf505f751df6389c87605404632","The speeding is a major road safety problem on the roads of Lithuania and many other countries. To reduce and control the speed of vehicles, engineering measures are installed on the roads of Lithuania and other countries – intelligent instantaneous and average speed enforcement systems, as well as many other engineering and structural speed reduction measures. The article presents good practices in the use of average speed enforcement systems, assessment of their effect on road safety. The article analyses the assessment results of the effect of the average speed enforcement systems installed on 25 sections of roads in Lithuania that have been operating for four years. Calculations of the effect factor of the installed average speed enforcement systems on road safety were performed using the before-and-after (B&A) method with a comparison group. Studies on the effect of application of speed control systems provide conditions for evaluating road safety, i.e., changes in road accidents linked to the effectiveness of implemented measures. The conclusions of the conducted study presented the calculations of the efficiency coefficients of the average speed enforcement systems on Lithuanian main and national roads. The analysis of the results of the conducted study allows stating that the installed average speed enforcement systems on 25 sections of Lithuanian roads increase overall road safety by 47%, reduce the number of collisions with animals by 80%, and the number of collisions with vehicles by 35%, as well as the number of other road accidents by 56%. © 2023 The Author(s)."
"Bullard C.; Jones S.; Adanu E.K.; Liu J.","Bullard, Cailis (58494827200); Jones, Steven (55875378300); Adanu, Emmanuel Kofi (57195986084); Liu, Jun (57188712384)","58494827200; 55875378300; 57195986084; 57188712384","Crash severity analysis of single-vehicle rollover crashes in Namibia: A mixed logit approach","2023","IATSS Research","10.1016/j.iatssr.2023.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165230528&doi=10.1016%2fj.iatssr.2023.07.002&partnerID=40&md5=3ab955b88e5baa671d104c77cc857e5e","Road traffic crashes are a leading cause of serious injuries and fatalities globally and place unnecessary developmental and economic burdens on low- and middle-income countries (LMIC) as they account for the vast majority of the world's road related deaths. This is typically due to both the increased frequency of dangerous crash types and the increased severity of said crash types. Rollover crashes while quite rare are a particularly dangerous crash type among other various crash types. In the case of Namibia, rollover crashes reportedly accounted for 34% of both road related injuries and fatalities in Namibia for 2020. When compared to high-income countries the issue of rollover crash severity in Namibia and like sub-Saharan African (SSA) countries becomes apparent. Therefore, it crucial to understand the contributing factors and their associated effects on rollover crash severities in these countries. This study aims to investigate and identify the significant factors influencing crash severities and their associated impact magnitudes on single-vehicle rollover crashes in Namibia by adopting a mixed logit with heterogeneity in means and variances approach to account for unobserved heterogeneity in the data. Although it is not without its limitations the dataset used in this study includes single-vehicles rollover crash instances from 2014 to 2016 within Namibia and is able to provide unique details for the crash observations including various driver, environmental, roadway, and vehicle characteristics. Results from this study indicate several factors including weekends, open roadways, and minibuses to be significantly increasing the crash severity of single-vehicle rollover crashes. Additionally, results provide a basis for which researchers and policy makers can understand rollover crashes in Namibia and adopt an appropriate approach to address this issue, such as, Safe Systems. Such an approach would include but not be limited to the implementation of roadside features, educational campaigns, speed enforcement, and vehicle standards policy. © 2023 International Association of Traffic and Safety Sciences"
"Dai X.-Z.; Yuan R.-T.; Zhou Y.-N.; Wu Z.-W.","Dai, Xue-Zhen (25624633700); Yuan, Ren-Teng (57490293600); Zhou, Ya-Nan (57216527282); Wu, Zhi-Wei (57216524389)","25624633700; 57490293600; 57216527282; 57216524389","Safety evaluation of urban expressway traffic flow operation status; [城市快速路车流运行状态安全性评价]","2020","Chang'an Daxue Xuebao (Ziran Kexue Ban)/Journal of Chang'an University (Natural Science Edition)","10.19721/j.cnki.1671-8879.2020.02.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083800309&doi=10.19721%2fj.cnki.1671-8879.2020.02.011&partnerID=40&md5=c04e4cd6d07ef401fd1e7b6615738b78","To evaluate the traffic safety of driving on urban expressway, a method based on data envelopment analysis (DEA) was proposed to evaluate the safety of traffic flow. In addition, the practicability of the evaluation method was verified. Some indexes which can reflect the stability of traffic flow were analyzed deeply. The traffic stability indexes were divided into the fundamental indexes and the characteristic indexes. The fundamental indexes represented by traffic flow, velocity and density, were selected as the input indexes. The coefficients of speed standard deviation, the rate of lane changing and the average of the headway, were selected as the output indexes. Then the non-expected indexes were converted to the expected indexes by using linear transformation. The undesired output indexes were converted to the desire output indexes according to linear transformation. Based on EDA method, the model of the traffic safety evaluation on urban expressway was established. The difference of input and output indexes in every evaluation segment were calculated, so the relative safety of multiple evaluation samples could be obtained through the model. Take 10 segments of the Xi'an Ring Expressway including 4 weaving segments as example. The radar speed gun and video methods were used to collect traffic data. The LINGO11.0 software was used to solve this model. The results show that there are 6 segments, which are effective units and the road safety degree is relatively effective, while 4 segments are ineffective units with potential safety hazards. The relative safety degree of road sections A, B, C and J of the ineffective units are 97%, 88%, 98% and 96% respectively. Based on the analysis of the evaluation results, it is proposed that when the input indexes such as traffic flow, velocity or traffic density change such as increasing, the hidden danger of road traffic safety is likely to be magnified and traffic accidents are likely to occur. © 2020, Editorial Department of Journal of Chang'an University (Natural Science Edition). All right reserved."
"November R.V.-C.; Leach L.L.","November, Rucia Vern-Clare (57219583846); Leach, Lloyd Llewellyn (57249337900)","57219583846; 57249337900","Relationship between shoulder complex strength and throwing velocity in club cricketers","2020","Journal of Human Sport and Exercise","10.14198/jhse.2020.151.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114430784&doi=10.14198%2fjhse.2020.151.07&partnerID=40&md5=906802da7051cb604363fb6ea7aa9c7d","Cricket is a game of immense physical prowess requiring high levels of fitness and skill. Purpose: The aim of this study focused on examining the relationship between shoulder concentric strength and throwing velocity amongst club cricketers. Method: The study used a quantitative, cross-sectional design. A convenient sample of 40 male university cricketers was tested. Shoulder concentric strength was measured at 60º•sec-1 and 90º•sec-1 using an isokinetic dynamometer. Throwing velocity was measured using a Speed Gun. Results: Significant correlations were found between peak torque during concentric internal rotation at 60º•sec-1 and maximal throwing velocity for the first team (r = 0.72; p = 0.01), second team (r = 0.67; p = 0.03), third team (r = 0.73; p = 0.01) and fourth team (r = 0.69; p = 0.02). The correlation between strength ratio at 60º•sec-1 and maximal throwing velocity was also significant for the first team (r = 0.76; p = 0.01), second team (r = 0.83; p = 0.002), third team (r = 0.70; p = 0.02) and fourth team (r = 0.94; p = 0.0001). Conclusion: The shoulder concentric internal rotators play a significant role in throwing velocity of club cricketers. © Faculty of Education. University of Alicante"
"Wynands R.; Kupper J.; Borchers A.; Siemann W.; Beckmann T.; Märtens F.","Wynands, R. (56227811700); Kupper, J. (56497653300); Borchers, A. (57216784385); Siemann, W. (57216791877); Beckmann, T. (56367734400); Märtens, F. (57216784753)","56227811700; 56497653300; 57216784385; 57216791877; 56367734400; 57216784753","Uncertainty evaluation of the PTB stationary reference facilities for road vehicle speed","2020","Metrologia","10.1088/1681-7575/ab73b2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084658602&doi=10.1088%2f1681-7575%2fab73b2&partnerID=40&md5=a1a40e49d260f90d2c5eeba6595a0ac1","We have determined and validated the measurement uncertainty of the two stationary reference facilities for road vehicle speed that Physikalisch-Technische Bundesanstalt (PTB) operates on a local road and on a motorway. It is used for type approval tests of commercial traffic speed enforcement devices. For an 18 m section the uncertainty (coverage factor k = 2) is only 0.076% (0.190 km h-1) at a speed of 250 km h-1 and 0.063% (0.044 km h-1) at a speed of 70 km h-1. This result was validated, at least at a higher level of uncertainty, with the help of an instrument that combines inertial motion sensors with satellite navigation signals, in test drives with speeds of up to 280 km h-1                              © 2020 BIPM & IOP Publishing Ltd."
"Singha P.; Chahal A.; Kumar P.","Singha, Pritam (57265998800); Chahal, Aksh (57219340656); Kumar, Parveen (57266571200)","57265998800; 57219340656; 57266571200","Shoulder Internal Rotator Strengthening vs. Muscle Energy Technique for Shoulder External Rotatorson Bowling Speed in Fast Bowlers Playing Cricket-A Quasi-Experimental Study; [Fortalecimento do Rotador Interno do Ombro versus Técnica de Energia Muscular para Rotadores Externos do Ombro na Velocidade de lançamento em Jogadores Rápidos que Jogam Críquete-Um Estudo Quase-Experimental]","2022","Revista Pesquisa em Fisioterapia","10.17267/2238-2704rpf.2022.e4231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126759005&doi=10.17267%2f2238-2704rpf.2022.e4231&partnerID=40&md5=7413f90b5e5078d060a32b8ba7a65447","INTRODUCTION: The shoulder joint is the most complex joint in the human body, the most mobile and least stable in relation to other joints. In bowling, using the upper extremity in the throwing motion is one of the most challenging tasks. In order to generate a precise throw, the numerous anatomical components involved in the overhead throwing motion must be coordinated. Shoulder muscular strength is a key component of excellent bowling, and the strength of various shoulder muscle groups influences bowling speed. Therefore, bowling players must exert strength in their performance. This lacks bone stability and sacrifices stability to increase mobility. OBJECTIVES: To analyse the effects of strengthening the shoulder internal rotators and the muscular energy technique of the shoulder external rotators on bowling speed in fast cricket players. METHODS AND MATERIALS: Participating rapid cricket players from the sports field, aged 18-30 years, were recruited and then randomly allocated into two groups: the strengthening group and the MET group. The strengthening group received muscle strengthening for the shoulder's internal rotators, and the MET group received the muscle energy technique for the external rotators. All the exercise interventions were involved physiotherapist supervision sessions with 12 repetitions and 3 sets 5 days per week up to eight weeks. Range of motion was measured by goniometer instrument, and bowling speed was assessed by speed gun. All outcomes were assessed at baseline, 2nd week, 4th week, and 8th week after the intervention with repeated measures ANOVA. RESULTS: Of the 30 participants evaluated, the mean age, height, weight, and BMI were, respectively, 21.40±2.36 years old, 1.74±0.09m, 71.80±16.77kg, and 23.57±4.20Kg/m2 for the strengthening group and 22.53±1.55 years old, 1.70±0.04m, 62.47±8.02kg, 21.49±2.63Kg/m2 for the MET group. There was a statistically significant difference for all outcomes regarding the measured times between the two intervention groups. However, there was a greater effect size for internal rotation ROM (1.99 in the strengthening group versus 1.42 in the MET group) and bowling speed (1.52 versus 1.39) in the strengthening group. External rotation ROM had a greater effect size in the MET group (1.66 for the MET group and 1.16 for the strengthening group). CONCLUSIONS: The study concludes that a significant improvement in shoulder internal rotators and external rotators' strength leads to improved bowling speed, so the shoulder strength training protocol and muscle energy training can be incorporated for increasing the bowler's speed. © 2022, BAHIANA - School of Medicine and Public Health. All rights reserved."
"Zhang Y.; Li H.; Ren G.","Zhang, Yingheng (57211192660); Li, Haojie (55207295700); Ren, Gang (35248904500)","57211192660; 55207295700; 35248904500","Estimating heterogeneous treatment effects in road safety analysis using generalized random forests","2022","Accident Analysis and Prevention","10.1016/j.aap.2021.106507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120156264&doi=10.1016%2fj.aap.2021.106507&partnerID=40&md5=4fbceb4702a0ac7595d476a5a517b467","Numerous evaluation studies have been conducted on a variety of road safety measures. However, the issue of treatment heterogeneity, defined as the variation in treatment effects, has rarely been investigated before. This paper contributes to the literature by introducing generalized random forests (GRF) for estimation of heterogeneous treatment effects (HTEs) in road safety analysis. GRF has high functional flexibility and is able to search for complex treatment heterogeneity. We first perform a series of simulation experiments to compare GRF with three causal methods that have been used in road safety studies, i.e., outcome regression method, propensity score method, and doubly robust estimation method. The simulation results suggest that GRF is superior to these three methods in terms of model specification, especially with the existence of nonlinearity and nonadditivity. On the other hand, a large dataset is required for accurate GRF estimation. Then we conduct a case study on the UK's speed camera program. Our results indicate significant reductions in the number of road accidents at speed camera sites. And the heterogeneity in treatment effects is found to be statistically significant. We further consider the associations between the baseline accident records, traffic volume, local socio-economic characteristics, and the safety effects of speed cameras. In general, the effect of speed cameras is larger at the sites with more baseline accident records, higher traffic volume, and in more densely-populated and deprived areas. Several policy suggestions are provided based on these findings. The evaluation of HTEs likely offers more comprehensive information to local authorities and policy makers, and improves the performance of speed camera programs. Moreover, GRF can be a promising approach for revealing treatment effect heterogeneity in road safety analysis. © 2021 Elsevier Ltd"
"Jovanovic L.; Bacanin N.; Simic V.; Pamucar D.; Zivkovic M.","Jovanovic, Luka (57452352700); Bacanin, Nebojsa (37028223900); Simic, Vladimir (7005545253); Pamucar, Dragan (54080216100); Zivkovic, Miodrag (57208755936)","57452352700; 37028223900; 7005545253; 54080216100; 57208755936","Audio analysis speeding detection techniques based on metaheuristic-optimized machine learning models","2024","Engineering Applications of Artificial Intelligence","10.1016/j.engappai.2024.108463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191661144&doi=10.1016%2fj.engappai.2024.108463&partnerID=40&md5=c183657cadda10d04fd937fb63d0161f","Law enforcement plays an important role in road safety across the world. Speed enforcement merits special attention as the correlation between exceeding speed limits and the risk of fatalities and serious injuries is well-known. Methods based on radar and light detection and ranging techniques have established themselves as effective methods for measuring vehicle speeds in real time on roads. However, the price of instruments used for these measurements limits their widespread applicability. This work explored the potential of coupling artificial intelligence and audio analysis for vehicle speed assessment. The potential of deep neural networks and extreme gradient boosting is explored on a recently proposed real-world vehicle speed dataset. Frequency analysis techniques are also applied to help reduce the computational demands of experimentation. Additionally, a modified optimization algorithm is introduced to help select optimal control parameters and improve the performance of the suggested method. Five experiments were executed to demonstrate the potential for detecting the exact vehicle speed using regression techniques as well as utilizing classifications to detect vehicles breaking the speed limit. The proposed methods demonstrated promising potential when applied to this pressing challenge. © 2024 Elsevier Ltd"
"Jiang X.-G.; Liu H.-Y.; Zhou Y.; Fu C.-Y.","Jiang, Xin-Guo (55724156700); Liu, Hai-Yue (57210320552); Zhou, Yue (57210314660); Fu, Chuan-Yun (49663195400)","55724156700; 57210320552; 57210314660; 49663195400","Systematic Review on Anti-speeding Countermeasure Research; [超速行为干预措施研究现状及发展趋势]","2020","Zhongguo Gonglu Xuebao/China Journal of Highway and Transport","10.19721/j.cnki.1001-7372.2020.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083761114&doi=10.19721%2fj.cnki.1001-7372.2020.03.001&partnerID=40&md5=19c86e8c149c8629e7833086ce7e08c1","To conceive effective anti-speeding countermeasures and determine practical effectiveness, adaptation conditions, advantages and disadvantages of existing anti-speeding countermeasures, and the effectiveness of combined countermeasures,relevant literature were systematically reviewed. According to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) statement guidelines, speeding and its corresponding countermeasures were regarded as keywords. In this study, 11 electronic databases were employed to search for relevant literature regarding the automated speed enforcement system, anti-speeding advertising measure, speeding warning sign, and intelligent speed adaptation system. Literature quality assessment indexes were established to evaluate the searched literature. In total, 101 studies were included in the review. Findings of the studies were synthesized in a narrative analysis. The research results indicate that the automated speed enforcement system, anti-speeding advertising measure, speeding warning sign, and intelligent speed adaptation system have varying anti-speeding effectiveness, which are affected by some road, traffic, and environmental conditions and human factors. Specifically, with regard to the automated speed enforcement system, the point-to-point speed enforcement system outperforms others, whereas the mobile speed camera system follows others; with respect to the anti-speeding advertising measure, outdoor advertisement outperforms other advertising measures, whereas print advertisement has little effect; as for the speeding warning sign, public posting of speeding information has a significant anti-speeding effectiveness; moreover, the warning dynamic speed display sign is superior to the standard one; as for the intelligent speed adaptation system, the compulsory intelligent speed adaptation system performs better than the others; however, the voluntary intelligent speed adaptation system demonstrates the worst performance. Additionally, most combined anti-speeding countermeasures perform better than a single countermeasure. In summary, the automated speed enforcement system outperforms three other anti-speeding measures, followed by the intelligent speed adaptation system, speeding warning sign, and anti-speeding advertising measure. Furthermore, combined countermeasures evidently improve intervention effectiveness. The abovementioned findings provide evidences for the selection and conceivement of anti-speeding countermeasures. Aimed at overcoming the limitations and determining the unclear influence factors of the existing anti-speeding measures, future studies need to optimize experimental and observational schemes to further examine the effectiveness and corresponding influence factors of the anti-speeding measures. Furthermore, additional studies need to be conducted to propose novel anti-speeding countermeasures based on big data (such as vehicle trajectory and video data). © 2020, Editorial Department of China Journal of Highway and Transport. All right reserved."
"Berloco N.; Coropulis S.; Intini P.; Ranieri V.","Berloco, Nicola (55085318900); Coropulis, Stefano (57429917100); Intini, Paolo (56957063900); Ranieri, Vittorio (23967033000)","55085318900; 57429917100; 56957063900; 23967033000","Effects of Berlin speed cushions in urban restricted speed zones: a case study in Bari, Italy","2022","Transportation Research Procedia","10.1016/j.trpro.2021.12.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123634065&doi=10.1016%2fj.trpro.2021.12.024&partnerID=40&md5=6bdddce52a05c11ed1d24c3e1ecba972","The widespread European policy towards urban sustainable mobility requires some engineering-related interventions on the existing urban road network, such as traffic calming measures. There is a substantial amount of research assessing the effects of different traffic calming measures, even if there is no unanimous evidence for some of them, such as speed cushions (in particular Berlin speed cushions). Some research on speed cushions has been conducted, even if different results were achieved, also varying with the country and context of installation. Moreover, some of these studies are old and they need to be updated, given the continuous transformation of urban environments. In agreement with the City of Bari, thanks to ASSET-Puglia Region funds, the Italian Ministry of Infrastructures and Transport has granted permission to install speed cushions on three urban streets located in restricted speed zones (≤30 km/h) in the City of Bari, to test their effects on vehicular traffic. In this context, this article is aimed at assessing the preliminary results obtained, considering the effects on vehicular speeds. The study design is a typical before-and-after study, in which speeds are measured using a laser speed gun on the three selected road segments before and after the implementation of speed cushions (for each segment, the cushion has a different width). Visual observations were also useful to detect the effects of speed cushions on trajectories and speeds of two-wheeled vehicles. The preliminary analysis of speed profiles revealed a consistent decrease in speed for all the three test sites (in particular the operating speed V85, which is reduced by up to approximately 30%). Moreover, it seems that the decrease in speed is more evident as the cushion width decreases. © 2022 The Authors. Published by ELSEVIER B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0)"
"John Moses C.; Prasad K.M.V.V.","John Moses, C. (58659272500); Prasad, Kantipudi M.V.V. (57158399800)","58659272500; 57158399800","Hybrid Sensor-based Traffic Monitoring and Managing Urban Areas in Hyderabad City","2020","IET Conference Proceedings","10.1049/icp.2021.0903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174655779&doi=10.1049%2ficp.2021.0903&partnerID=40&md5=185121ba00da4d81a066443411d7c302","Traffic control and management is an important factor in related with development of urban. A smart city comprises of smart health care, smart environment, smart home and smart road transportation system. For all these modernizations both artificial intelligence (AI) and machine learning (ML) take major parts in smart operation. By using hybrid sensors, the traffic light systems can be triggered depending on the measured volume of traffic, including temporary deactivation of the traffic lights when roads are quiet. The traffic data collected with the hybrid technology is then used to analyse and control traffic volumes. The radar technology for traffic monitoring applications include traffic light controls, speed enforcement, traffic monitoring and traffic classification. Therefore, this proposal suggests exploring design and prototype model and utilize the model for appropriate road traffic monitoring and management system. The objectives of the proposed system are to reduce traffic congestion, to count traffic flow, to classify the traffic, to provide green environment by reducing air-pollution generated by vehicles, to provide safety for stakeholders (pedestrians and driver and passengers) and to forecast traffic flow. © 2020 The Institution of Engineering and Technology."
"Hydén C.","Hydén, Christer (6506717650)","6506717650","Speed in a high-speed society","2020","International Journal of Injury Control and Safety Promotion","10.1080/17457300.2019.1680566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074584350&doi=10.1080%2f17457300.2019.1680566&partnerID=40&md5=13b4319f219ed8925c748690bc049040","Speed control is the most important aspect of promoting road safety world-wide. The question is how are speeds developing? The European Transport Safety Council concludes: There is little progress on reducing speeds in Europe. Similar conclusions can be drawn from the US and Australia. Attitude surveys show that people’s answers are not very consistent and represent statements without any strong bearing on norms or behaviour. Many factors are ‘pro-speed’: higher performance vehicles, more comfort, media coverage, etc. Enforcement, particularly with cameras and with section control is efficient, but the scale of adoption is too small. Traffic calming is efficient in cities, but the most obvious measure is one that makes it impossible to drive faster than the speed limit. During the last 30 years, a few trials have taken place which are promising; speeds at or below the speed limit, improved behaviour, and attitudes. The predicted effect is a reduction of up to 50% of fatalities in a regulation-driven scenario and a benefit to cost ratio of 3.5 to 4.8. It is time for authorities to see to it that lower speeds with the help of efficient vehicle-based solutions becomes part of the agenda. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
