"DOI","Link","Author Keywords","Index Keywords"
"10.14710/ijred.2023.49910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149528079&doi=10.14710%2fijred.2023.49910&partnerID=40&md5=061aa7d9650ff5464cdded23f40b77ab","Collimator; Illumination; LightTools; Matlab programming; non-imaging optics; Non-imaging optics; Vehicles speed gun","Design; Light emitting diodes; MATLAB; Vehicles; Collimator; Condition; Infrared wavelengths; Led array; Lighttool; Matlab programming; Nonimaging optics; Vehicle speed; Vehicle speed gun; Energy efficiency"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165901911&partnerID=40&md5=e80291d7b2498472f4f90c9605b98ee4","",""
"10.1007/978-3-030-79801-7_59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128969790&doi=10.1007%2f978-3-030-79801-7_59&partnerID=40&md5=43e8f09a4eb3e5a6ef4b6cfdf8eea05c","Road accidents; Road geometry; Unbalanced centripetal acceleration","Geometry; Motor transportation; Roads and streets; Centripetal acceleration; Financial resources; Geometry parameter; Government agencies; Human lives; New approaches; Operational scenario; Policy tools; Road geometry; Unbalanced centripetal acceleration; Highway accidents"
"10.1109/ICCT56969.2023.10076115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152202889&doi=10.1109%2fICCT56969.2023.10076115&partnerID=40&md5=f206e42a1b5c50d7c922241ec17fa837","GPS; GSM; Intelligent Speed Assistance; Intelligent Transport Systems","Advanced traveler information systems; Global system for mobile communications; Highway planning; Intelligent systems; Real time systems; Roads and streets; Traffic control; Assistance system; Intelligent speed assistance; Intelligent transport; Intelligent transport system; Real-time surveillance; Research opportunities; Speed assistance; System development; Systems research; Transport systems; Global positioning system"
"10.1007/978-981-16-1866-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111999821&doi=10.1007%2f978-981-16-1866-6_2&partnerID=40&md5=2be827648502281c805266d3566d6ec9","Badge-shaped antenna; Cotton substrate; CST MW Studio; Directivity; Vehicle speed detection; VNA; Wearable antenna","Elastic waves; Internet of things; Microwave antennas; Slot antennas; Textiles; Wearable antennas; Conductive threads; Indoor and outdoor positioning; Radiating elements; Standing-wave ratio; System requirements; Vehicle movements; Voltage standing-wave ratio; Working frequency; Microstrip antennas"
"10.1177/03611981221125213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146808017&doi=10.1177%2f03611981221125213&partnerID=40&md5=434ec0037d7617c36e18cc261736e0a3","drivers’ compliance; iRAP; prediction models; speed limit; traffic crashes; traffic safety","Accident prevention; Developing countries; Forecasting; Highway planning; Location; Motor transportation; Roads and streets; Crash data; Driver’ compliance; IRAP; Optimal locations; Prediction modelling; Simple++; Speed limit; Traffic crashes; Traffic safety; Violation rates; Cameras"
"10.1007/s00779-023-01736-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169574098&doi=10.1007%2fs00779-023-01736-x&partnerID=40&md5=5db956865ba51a3248e85ba0548ffbe3","Automated enforcement; LIDAR; RADAR; Road safety; Speed; Traffic enforcement","Accident prevention; Automation; Intelligent systems; Intelligent vehicle highway systems; Law enforcement; Motor transportation; Roads and streets; Automated enforcement; Capture images; Intelligent transportation systems; Road safety; Safety regulations; Speed detection; Speed limit; Technology solutions; Traffic enforcement; Traffic laws; Optical radar"
"10.1016/j.ecotra.2019.100123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073284124&doi=10.1016%2fj.ecotra.2019.100123&partnerID=40&md5=958e18fe98c84a7d9bd63b91299b92dd","Accidents; Average speed enforcement system; Highways; Safety tutor",""
"10.1016/j.apr.2023.101920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172268653&doi=10.1016%2fj.apr.2023.101920&partnerID=40&md5=9727b040bd801ba762db168a88a0c63c","Air pollution; Dammam; Generalized additive model (GAM); Greenhouse gases (GHG); Linear regression (LR); Saudi Arabia; Speed enforcement; Speed limit cameras (SLCs); Traffic flow parameters; Vehicle exhaust emissions; Weather condition parameters",""
"10.1016/j.aap.2023.107038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152626423&doi=10.1016%2fj.aap.2023.107038&partnerID=40&md5=f9aa607a1ed6037c24800d942f954d7c","COVID-19; Mixed effect binomial model; Probe data; Speeding; Statistical modeling; Traffic density","Accidents, Traffic; Automobile Driving; Connecticut; COVID-19; Humans; Models, Statistical; Pandemics; Probes; Regression analysis; Traffic congestion; Binomial models; Level of Service; Mixed effect binomial model; Mixed effects; Operational performance; Probe data; Roadway characteristics; Speeding; Statistic modeling; Traffic densities; car driving; Connecticut; coronavirus disease 2019; human; pandemic; prevention and control; statistical model; traffic accident; COVID-19"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092016641&partnerID=40&md5=a99ee566d11bf0d33d38538fc83ccd2a","","Bicycles; Electric bikes; Light electric vehicles; Sporting goods; Urban transportation; Electric scooters; Micro mobility; Operating speed; Speed distributions; Statistically significant difference; Transportation mode; Travel speed; Speed"
"10.1109/TASE.2024.3381068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189621544&doi=10.1109%2fTASE.2024.3381068&partnerID=40&md5=92798b9c082fc60a3ae7c37057643e68","authentication; Authentication; blockchain; Blockchains; Elliptic curve cryptography; Hash functions; intelligent transportation system; Internet of vehicles; key agreement; Security; security; Servers; Vehicular ad hoc networks","Advanced traffic management systems; Alarm systems; Blockchain; Digital storage; Fleet operations; Geometry; Hash functions; Intelligent systems; Network security; Public key cryptography; Real time systems; Traffic control; Vehicle to vehicle communications; Vehicles; Vehicular ad hoc networks; Block-chain; Curve cryptography; Elliptic curve; Elliptic curve cryptography; Intelligent transportation systems; Internet of vehicle; Key agreement; Security; Vehicular Adhoc Networks (VANETs); Authentication"
"10.5194/isprs-Archives-XLVI-4-W5-2021-405-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122335507&doi=10.5194%2fisprs-Archives-XLVI-4-W5-2021-405-2021&partnerID=40&md5=f18fa600461dac5f5102db37f5fd3d69","Arduino; audio; black spot; blackspot; driver; GPS; GSM; IoT; microcontroller; notification; RX.; TX","Global positioning system; Global system for mobile communications; Highway accidents; Microcontrollers; Roads and streets; Accident potential; Arduino; Audio; Black spot; Blackspot; Driver; Microcontroller; Notification; RX.; TX; Internet of things"
"10.1080/15389588.2021.1957100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113807490&doi=10.1080%2f15389588.2021.1957100&partnerID=40&md5=bb9503c21540eb5b798b48b5a2402e87","road traffic injury; Speed camera; speed enforcement; traffic safety","Accidents, Traffic; Automobile Driving; Automobiles; Humans; Iran; Male; Photography; car; car driving; human; Iran; male; photography; traffic accident"
"10.1016/B978-0-08-102671-7.10167-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151178704&doi=10.1016%2fB978-0-08-102671-7.10167-8&partnerID=40&md5=06aac421dc1d31be8525df7abbeabcc9","Automated traffic enforcement; Driver behavior; Intersection cameras; Photo radar; Red light cameras; Red light running; Roadway crashes; Section control; Speed cameras; Speed-on-green; Speeding",""
"10.1155/2020/9461483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081264096&doi=10.1155%2f2020%2f9461483&partnerID=40&md5=1f26682b4f9c3af6b40aaa808d289b80","","Accidents; Health risks; Location; Risk assessment; Traffic control; Vehicles; Average travel speed; Avoidance behavior; Comparative analysis; Comparison group; Empirical Bayes approach; Empirical Bayes method; Korean expressways; Speed variations; Speed"
"10.1007/978-3-030-46150-8_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084855855&doi=10.1007%2f978-3-030-46150-8_42&partnerID=40&md5=8160bb2a58bf8281faacd026f763a916","Behavioral modeling and learning; Bounded rationality; Deception; Security; Signaling; Stackelberg games","Behavioral research; Decision trees; Game theory; Machine learning; Signaling; Human subject experiments; Inside attackers; Machine learning models; Potential targets; Security games; Sensitive informations; State-of-the-art algorithms; Warning messages; Computer games"
"10.1093/mnrasl/slad007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159572529&doi=10.1093%2fmnrasl%2fslad007&partnerID=40&md5=770aaa07006adb7df3d0d8da509f3dce","cosmology: observations; galaxies: active; methods: observational; techniques: high angular resolution; techniques: interferometric",""
"10.1016/j.procs.2022.03.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132167695&doi=10.1016%2fj.procs.2022.03.027&partnerID=40&md5=c701a19f7282e3e69a7877f92e611f41","Ethiopia; major theories model; minibus taxi drivers; Speeding","Behavioral research; Correlation methods; Highway accidents; Motor transportation; Regression analysis; Roads and streets; Taxicabs; Addis ababa; Ethiopia; Major theory model; Minibus taxi driver; Road safety; Safety problems; Speeding; Speeding behaviors; Taxi drivers; Theory model; Principal component analysis"
"10.21660/2020.68.9255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114360624&doi=10.21660%2f2020.68.9255&partnerID=40&md5=e68ad02ff7052325f68e05e187df676c","Automated speed enforcement; Risk; Safety; Speeding; Theory of planned behavior",""
"10.1136/injuryprev-2018-043071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063728931&doi=10.1136%2finjuryprev-2018-043071&partnerID=40&md5=de4a17e55ed712461b73b383bbbe809a","China; ebikes; Non-motorized vehicles; road safety; Shanghai","Accidents, Traffic; Bicycling; China; Humans; Kaplan-Meier Estimate; Pedestrians; Proportional Hazards Models; Risk Factors; Safety; Wounds and Injuries; China; cycling; human; injury; Kaplan Meier method; pedestrian; prevention and control; proportional hazards model; risk factor; safety; traffic accident"
"10.1088/1757-899X/737/1/012130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082042665&doi=10.1088%2f1757-899X%2f737%2f1%2f012130&partnerID=40&md5=b8b0dac8108ced91894e657640b6a74a","",""
"10.1088/1755-1315/498/1/012006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086901708&doi=10.1088%2f1755-1315%2f498%2f1%2f012006&partnerID=40&md5=94e7817a1170ffa01d5880169975351e","","Automobile drivers; Facilities; Installation; Roads and streets; Speed; Sustainable development; Chi-square analysis; Location selection; Perspective views; Road crossing; Road users; Spot speed; Vehicle speed; Visual effects; Pedestrian safety"
"10.1016/j.scitotenv.2021.152323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121585458&doi=10.1016%2fj.scitotenv.2021.152323&partnerID=40&md5=c304ebf875c5715aeee8d37c861e0529","Drive-cycle; Driving behavior; Emissions; Road safety; Speed limit violation; Vehicle specific power","Air Pollutants; Beijing; Cities; Nitrogen Oxides; Vehicle Emissions; Beijing [Beijing (ADS)]; Beijing [China]; Canada; China; Ontario [Canada]; Toronto; Accident prevention; Carbon dioxide; Highway planning; Motor transportation; Nitrogen oxides; Roads and streets; Speed; Traffic congestion; Travel time; carbon dioxide; carbon monoxide; nitrogen oxide; nitrogen oxide; Comparative analyzes; Drive cycles; Driving behaviour; Driving characteristics; Emission; Road safety; Speed limit; Speed limit violation; Toronto; Vehicle specific power; carbon dioxide; carbon monoxide; comparative study; exhaust emission; metropolitan area; nitrogen oxides; road transport; transportation safety; travel time; aggressive driving; air pollution; Article; behavior; Canada; China; comparative study; environmental monitoring; global positioning system; road safety; speeding (driving); traffic; travel; urban area; air pollutant; city; exhaust gas; Carbon monoxide"
"10.1177/03611981241230320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186580668&doi=10.1177%2f03611981241230320&partnerID=40&md5=95a61ad2ef977c529e8ef7aeae6c4861","automated enforcement; program evaluation; safety; safety project; speeding","Accident prevention; COVID-19; Automated enforcement; Bayesian negative binomial; Camera installation; Crash injury; Negative binomial models; Philadelphia; Program evaluation; Safety project; Speed cameras; Speeding; K-means clustering"
"10.1007/s11292-022-09507-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128289374&doi=10.1007%2fs11292-022-09507-z&partnerID=40&md5=cdcede32047737a2b5dd79bb4a958162","Automatic speed cameras; Deterrence; Enforcement; Quasi-experiment; Road traffic crashes; Speeding; Traffic violations",""
"10.4399/97888255337505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106042688&doi=10.4399%2f97888255337505&partnerID=40&md5=1ff19d3885ba25e309a2bad1fea27741","Crash modification factors; Mobile speed enforcement cameras; Observational empirical bayes; Private finance initiative PFI; Road safety","Cameras; Safety engineering; Speed; Traffic control; Before-and-after study; Collision frequency; Kingdom of Saudi Arabia; Mode of operations; Modification factors; Private Finance Initiative; Property damage only; Traffic enforcement; Barium compounds"
"10.3390/d15121199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180647298&doi=10.3390%2fd15121199&partnerID=40&md5=5870c112166e21d88dd072821c8d04e4","biodiversity; conservation; incidents; mammals; wildlife vehicle collision","South Korea; biodiversity; collision; mammal; mitigation; nature conservation; roadkill"
"10.3390/su13084222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104564022&doi=10.3390%2fsu13084222&partnerID=40&md5=543eebd12c730c93c1ff4a8c57cf8cd4","Abuja; Crash fatalities; Nigeria; Road safety; Road traffic crashes; Road user behaviours","Abuja [Nigeria]; Nigeria; child health; developing world; equipment; government; mobile phone; public attitude; questionnaire survey; road traffic"
"10.1016/j.trc.2021.103000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100986069&doi=10.1016%2fj.trc.2021.103000&partnerID=40&md5=dd9103441fc2077df41183acbd083664","Large-scale integer nonlinear programming; Mobile photo radar speed detection; Mobile speed enforcement program scheduling; Resource allocation","Accident prevention; Law enforcement; Linear programming; Quadratic programming; Radar; Scheduling; Edmonton , Canada; Enforcement programs; Optimization approach; Public perception; Quadratic programs; Resource utilizations; Scheduling resources; Traffic enforcement; nonlinearity; perception; photograph; radar imagery; resource allocation; technology adoption; transportation safety; transportation technology; Image enhancement"
"10.52547/aassjournal.1034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142226888&doi=10.52547%2faassjournal.1034&partnerID=40&md5=5cfeb6fd21d12994fd6705b2bebd2360","Core muscle; Fatigue; Jump serve; Sports biomechanics; Volleyball",""
"10.1109/JIOT.2022.3150842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124708401&doi=10.1109%2fJIOT.2022.3150842&partnerID=40&md5=21ad2b6f670e5f332415868a5ad3733c","Access control and key management; blockchain; intelligent transportation system (ITS); security; vehicular network","Access control; Accidents; Blockchain; Cloud computing; Highway administration; Intelligent vehicle highway systems; Network security; Roads and streets; Toll highways; Traffic control; Vehicles; Access control managements; Block-chain; Cloud-computing; Computational modelling; Intelligent transportation system; Intelligent transportation systems; Key-management; Security; Security.; Vehicular networks; Intelligent systems"
"10.1007/s11367-021-01910-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110860693&doi=10.1007%2fs11367-021-01910-4&partnerID=40&md5=17d285cf0b755ff7709311cfd35f4ba6","Environmental performance; Greenness; Grey relational analysis; Mechanical performance; Orthogonal experiment; Plasma spraying","Article; energy consumption; environmental decision making; environmental impact; environmental parameters; grey relational analysis; hardness; life cycle assessment; plasma spraying; porosity"
"10.1016/j.asej.2023.102154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147283527&doi=10.1016%2fj.asej.2023.102154&partnerID=40&md5=196fb3e2586c2037f7543c74f510c56d","Driver compliance; High Speed; Speeding camera; Traffic enforcement; Traffic safety","Law enforcement; Driver compliance; Fixed speed; High Speed; Speed cameras; Speed limit; Speeding camera; Traffic counts; Traffic enforcement; Traffic safety; Traffic speed; Developing countries"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083516620&partnerID=40&md5=f068952a7fccf93702e40dde64878462","Maritime Traffic Management; Speed Enforcement Application; Vessel Detection; Vessel Re-identification","Computer graphics; Computer vision; Sailing vessels; Application specific; Maritime traffic; Re identifications; Speed measurement; Speed regulation; Time filtering; Trajectory matching; Visual detection; Cameras"
"10.2174/1875399X02013010066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093886092&doi=10.2174%2f1875399X02013010066&partnerID=40&md5=ea69f1dcd78c5b927acc0e34ffa4aa63","Baseball; Cardiorespiratory fatigue; Kinematics; Pitcher; Sport biomechanics; Velocity",""
"10.1007/978-981-15-3742-4_45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091117261&doi=10.1007%2f978-981-15-3742-4_45&partnerID=40&md5=392932908e48dd15b1a3f34271ff256b","Business as-usual scenario; Crash reduction factors","Accident prevention; Advanced traveler information systems; Highway accidents; Highway engineering; Motor transportation; Road and street markings; Roads and streets; Variable message signs; Auxiliary lanes; Crash reduction factors; Economic benefits; Fatal crashes; Indian standards; Road safety audits; Road transportation; Safety performance; Safety factor"
"10.1007/978-981-33-6311-3_106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100800602&doi=10.1007%2f978-981-33-6311-3_106&partnerID=40&md5=0adef27703ca2b3238eed1c8e7510462","Asj-rtn model; Makassar city; Road traffic noise; U-turn","Acoustic noise; Forecasting; Noise pollution; Offshore oil well production; Roads and streets; Makassar cities; Measurement data; Noise predictions; Number of vehicles; Observation point; Prediction model; Road traffic noise; Technical limits; Predictive analytics"
"10.3390/su15086352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156116417&doi=10.3390%2fsu15086352&partnerID=40&md5=f4b05dcd718e88700387c62af0054207","Berlin speed cushions; real-world tests; speed reduction; traffic-calming device; urban context; vulnerable road user","Bari; Berlin; Germany; Italy; experimental study; road traffic; traffic management; travel time; urban area"
"10.1109/TMC.2020.3034354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130631972&doi=10.1109%2fTMC.2020.3034354&partnerID=40&md5=f03ba7e7a1e8b26b82d0cbdc5ec0a9b9","Automobile speed estimation; camera; microphone; TDOA","Automobiles; Cameras; Cellular telephones; Errors; Radar; Speed; Time difference of arrival; Trajectories; Acoustic signals; Automobile speed estimation; Efficient schemes; Estimation errors; Fixed cameras; Model-based OPC; Phone-based; Speed estimation; Time-difference-of-arrival; Traditional approaches; Microphones"
"10.1093/police/paz012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117360911&doi=10.1093%2fpolice%2fpaz012&partnerID=40&md5=3b784dbc6240ffb12706c90de58ee66a","",""
"10.33492/JRS-D-22-00034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160314543&doi=10.33492%2fJRS-D-22-00034&partnerID=40&md5=6d3912e685c1d6e098b86bcaa20ac7f2","Capacity building; Child restraints; Enforcement; Road policing; Road safety; Speed enforcement; Speeding",""
"10.1016/j.amar.2022.100242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137264032&doi=10.1016%2fj.amar.2022.100242&partnerID=40&md5=b2e3e0ebeb4240930244ab372e2c5e3c","Crash risk; Crash severity; Endogeneity; Policy analysis; Scenario development; Speed camera; Speeding","Crime; Electric power utilization; High speed cameras; Regression analysis; Risk perception; Safety engineering; Speed; Crash risk; Crash severity; Endogeneity; Injury severity; Instrumental variables; Policy analysis; Random parameters; Scenario development; Speed cameras; Speeding; Risk assessment"
"10.1080/15389588.2021.1908544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104405872&doi=10.1080%2f15389588.2021.1908544&partnerID=40&md5=11980770a5d59bb27fb5027df2fd47d0","fatality; Pedestrian; speed limits; speeding; traffic calming","Acceleration; Accidents, Traffic; Humans; India; Models, Theoretical; Pedestrians; Probability; Wounds and Injuries; acceleration; human; India; injury; mortality; pedestrian; prevention and control; probability; theoretical model; traffic accident"
"10.26773/smj.210607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108107447&doi=10.26773%2fsmj.210607&partnerID=40&md5=e451a665bea043f2556e41a6b5ff20b3","Handball player; Play position; Throwing speed",""
"10.3390/s21144659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109109031&doi=10.3390%2fs21144659&partnerID=40&md5=5fdcc20206b318a2e2ed5e6682f0e72a","Computer vision application; Maritime traffic management; Vessel detection; Vessel re-identification; Video surveillance","Sailing vessels; Travel time; Application-specific optimizations; Bounding box; Frames per seconds; Matching constraints; Multi-cameras; Multiple image; Re identifications; Single images; Cameras"
"10.1061/9780784484333.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139074369&doi=10.1061%2f9780784484333.015&partnerID=40&md5=a28e48a2290c3641d4d16ea01a95f397","","Accidents; Automation; % reductions; Car crashes; Fatal Injury; High costs; Injury crashes; Red-light cameras; Saudi Arabia; Total crashes; United kingdom; Vehicle crashes; Cameras"
"10.1177/03611981241230319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186589430&doi=10.1177%2f03611981241230319&partnerID=40&md5=2293b4fc2a39a5ebf4ea74bdb3de747a","enforcement methods; operations; safety; work zones","Automobile drivers; Law enforcement; Enforcement method; Enforcement strategy; Field studies; Lane closures; Operation; Police car; Police enforcement; Speed feedback; Speed reduction; Work zones; Light trailers"
"10.1088/1757-899X/888/1/012030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090849026&doi=10.1088%2f1757-899X%2f888%2f1%2f012030&partnerID=40&md5=3c70d0384debf79c71ae74ff739f80bd","headway; lane change; lane utilization; passing behavior; Two-lane; two-way highway",""
"10.3390/su14031765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124013480&doi=10.3390%2fsu14031765&partnerID=40&md5=893aae6311d1f7363376a423bf745b3b","Evaluation methodology; General deterrence; Speed and crashes; Speed cameras; Speed enforcement; Speed‐camera evaluation; Speed‐camera outcomes","instrumentation; literature review; methodology; policy approach"
"10.1063/5.0199710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188274581&doi=10.1063%2f5.0199710&partnerID=40&md5=ca96d6e082742b15564d0d8d19419c07","Al-Najaf Road network; FFS; Road Network; sustainable",""
"10.33492/JRS-D-20-00256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139074658&doi=10.33492%2fJRS-D-20-00256&partnerID=40&md5=e7db8983e4183142396d5c28332d090a","best practice; Cambodia; deterrence theory; knowledge transfer; speed enforcement; speed management",""
"10.3390/s22082885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127650181&doi=10.3390%2fs22082885&partnerID=40&md5=6814ddf20d7bd12a254fefebb1ab38d5","automated enforcement; connected vehicle; speeds; trajectory","Accidents, Traffic; Automobile Driving; Time; United States; Automation; Trajectories; Vehicles; Automated enforcement; Connected vehicle; Datapoints; Indiana; Pennsylvania; Trajectories datum; Transportation agencies; Vehicle trajectories; Work zone safety; Work zones; car driving; prevention and control; time; traffic accident; United States; Speed"
"10.1016/j.aap.2023.107327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175207866&doi=10.1016%2fj.aap.2023.107327&partnerID=40&md5=6b904442be5c4324b8cf94d5596701a1","","Accidents, Traffic; Automobile Driving; Case-Control Studies; Humans; Law Enforcement; Rwanda; car driving; case control study; human; law enforcement; prevention and control; Rwanda; traffic accident"
"10.24200/sci.2020.53933.3496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109613606&doi=10.24200%2fsci.2020.53933.3496&partnerID=40&md5=9c504680675179ac4b330b6482a9e7da","Average speed; Average speed enforcement; Chi-square test; Driver opinions; Speed limit","Turkey; Meleagris gallopavo; Pedestrian safety; Average speed; Driver behavior; Low speed; Personal characteristics; Speed limit; Speeding behaviors; Study areas; University campus; detection method; knowledge; pedestrian; perception; risk factor; university sector; Speed"
"10.1016/B978-0-08-102671-7.10517-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151188757&doi=10.1016%2fB978-0-08-102671-7.10517-2&partnerID=40&md5=78048aa40e336d88cec6533d27e21f84","Attitude; Campaigns; Enforcement; Fatalities; Injuries; Maximum speed; Norm; Speed; Speed limiter",""
